Таблица . Статистические данные об отказах СРЛН,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000,5200,5400,5600,5800,6000,6200,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400
Δti,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,,,,,,,,,,,,,,,,,,,,
i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,,,,,,,,,,
"n (t, t+Δt)",0,1,3,0,1,1,2,2,1,2,2,5,4,5,6,6,6,7,6,7,7,6,7,7,7,8,7,8,8,9,8,,,,,,,,,,,,,,,,,,,,
n,0,1,4,4,5,6,8,10,11,13,15,20,24,29,35,41,47,54,60,67,74,80,87,94,101,109,116,124,132,141,149,,,,,,,,,,,,,,,,,,,,
N,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,
ω(t),"0,000000","0,005000","0,015000","0,000000","0,005000","0,005000","0,010000","0,010000","0,005000","0,010000","0,010000","0,025000","0,020000","0,025000","0,030000","0,030000","0,030000","0,035000","0,030000","0,035000","0,035000","0,030000","0,035000","0,035000","0,035000","0,040000","0,035000","0,040000","0,040000","0,045000","0,040000",,,,,,,,,,,,,,,,,,,,
ωг,"0,000000","0,002500","0,006667","0,005000","0,005000","0,005000","0,005714","0,006250","0,006111","0,006500","0,006818","0,008333","0,009231","0,003214","0,003667","0,003750","0,003529","0,003611","0,003421","0,003250","0,003333","0,002955","0,002826","0,002917","0,002800","0,002885","0,002778","0,002679","0,002759","0,002833","0,002742",,,,,,,,,,,,,,,,,,,,
σг,0,"0,00176776695296637","0,00491831422489605","0,00350677254804239","0,00156827635981059","0,000640246142867562","0,00163782355853441","0,00144676216121078","0,000608065114600389","0,00112337630309678","0,00101739155153614","0,00482020801199591","0,00327238723305569","0,00588779527704702","0,00696711598711577","0,00678971283071827","0,00662789222926206","0,00756156693447464","0,00633959046376871","0,00723965782081","0,00708852333047412","0,00596087155988925","0,00682289199897572","0,00669543418123956","0,00657774684485595","0,00739235189155486","0,00636226861305761","0,00715483725610299","0,00704202172454096","0,00780516463150455","0,00683700549055186",,,,,,,,,,,,,,,,,,,,
Dг,0,"0,000003125","2,41898148148148E-05","1,22974537037037E-05","2,45949074074074E-06","4,0991512345679E-07","2,68246600889033E-06","2,09312075111129E-06","3,69743183593984E-07","1,2619743183594E-06","1,03508556913711E-06","2,32344052789096E-05","1,07085182030659E-05","3,46661332244172E-05","4,85407051779241E-05","4,61002003236203E-05","4,39289554027124E-05","5,71772945045403E-05","4,01904072483072E-05","5,24126453624154E-05","5,02471630066759E-05","3,55319897534965E-05","4,65518552296868E-05","4,4828838875311E-05","4,32667535550125E-05","5,46468664885747E-05","4,0478461904698E-05","5,11916961613194E-05","4,95900699689069E-05","6,09205949248895E-05","4,67446440778362E-05",,,,,,,,,,,,,,,,,,,,
